"movie_id","genre_id"
648,2
648,13
649,8
649,2
649,9
650,4
650,14
651,2
651,15
651,13
652,4
652,2
653,6
653,11
654,4
654,17
655,1
655,2
655,12
656,7
656,16
656,15
657,6
657,1
657,12
658,2
658,13
659,7
659,2
659,13
660,6
660,7
660,2
661,7
661,4
661,11
662,1
662,2
662,3
663,4
663,2
663,13
664,1
664,2
664,3
665,16
665,15
665,19
666,6
666,11
667,14
668,2
668,11
668,12
669,6
669,7
669,11
670,4
670,2
670,13
671,6
671,7
671,12
672,6
672,1
672,2
673,6
673,8
673,1
674,4
675,2
676,2
677,4
677,2
678,4
678,16
679,15
680,6
680,1
680,2
681,2
681,11
681,12
682,1
682,2
682,3
683,2
683,12
684,10
684,7
684,4
685,6
685,2
686,10
686,2
686,16
687,10
687,6
687,7
688,1
688,2
688,3
689,6
689,7
689,8
690,12
691,2
692,2
692,3
692,12
693,1
693,2
694,6
694,7
694,2
695,2
695,15
695,13
696,6
696,1
696,12
697,10
697,6
697,7
698,4
698,16
698,15
699,2
700,8
700,2
700,18
701,10
701,7
701,4
702,2
703,6
703,1
703,2
704,8
704,2
704,9
705,4
705,2
706,2
706,3
706,12
707,7
707,2
707,12
708,8
708,2
708,9
709,8
709,2
710,6
710,7
710,11
711,2
711,3
711,11
712,7
712,2
712,15
713,7
713,8
713,2
714,6
714,8
714,2
715,1
715,2
715,3
716,4
716,1
716,2
717,7
717,2
717,15
718,7
718,4
718,16
719,1
719,2
719,3
720,10
720,16
720,15
721,10
721,6
721,7
722,2
722,13
723,8
723,4
723,2
724,7
724,4
724,2
725,6
725,7
725,12
726,8
726,2
726,12
727,2
727,13
728,8
728,1
728,2
729,6
729,7
729,11
730,8
730,4
730,2
731,2
731,13
732,17
732,12
733,6
733,3
733,12
734,2
734,11
735,10
735,7
735,4
736,7
736,2
736,9
737,4
737,15
737,13
738,1
738,2
738,3
739,10
739,7
739,4
740,17
740,12
741,17
741,12
742,2
742,16
742,19
743,2
744,2
745,2
