"id","title","director","release_year","runtime","rating","metascore","gross(M)"
147,"The Lives of Others","Florian Henckel von Donnersmarck","2006",137,8.4,89,11.29
148,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Stanley Kubrick","1964",95,8.4,97,0.28
149,"Snatch","Guy Ritchie","2000",102,8.2,55,30.33
150,"Das Boot","Wolfgang Petersen","1981",149,8.4,86,11.49
151,"Howl's Moving Castle","Hayao Miyazaki","2004",119,8.2,82,4.71
152,"Capernaum","Nadine Labaki","2018",126,8.4,75,1.66
153,"Unforgiven","Clint Eastwood","1992",130,8.2,85,101.16
154,"Sunset Blvd.","Billy Wilder","1950",110,8.4,94,0.0
155,"The Truman Show","Peter Weir","1998",103,8.2,90,125.62
156,"Green Book","Peter Farrelly","2018",130,8.2,69,85.08
157,"Kill Bill: Vol. 1","Quentin Tarantino","2003",111,8.2,69,70.1
158,"Paths of Glory","Stanley Kubrick","1957",88,8.4,90,0.0
159,"L.A. Confidential","Curtis Hanson","1997",138,8.2,91,64.62
160,"The Sixth Sense","M. Night Shyamalan","1999",107,8.2,64,293.51
161,"Finding Nemo","Andrew Stanton","2003",100,8.2,90,380.84
162,"Die Hard","John McTiernan","1988",132,8.2,72,83.01
163,"A Beautiful Mind","Ron Howard","2001",135,8.2,72,170.74
164,"The Father","Florian Zeller","2020",97,8.2,88,0.0
165,"Downfall","Oliver Hirschbiegel","2004",156,8.2,82,5.51
166,"Gone with the Wind","Victor Fleming","1939",238,8.2,97,198.68
167,"Chinatown","Roman Polanski","1974",130,8.2,92,8.49
168,"Million Dollar Baby","Clint Eastwood","2004",132,8.1,86,100.49
169,"Barry Lyndon","Stanley Kubrick","1975",185,8.1,89,0.0
170,"In the Mood for Love","Kar-Wai Wong","2000",98,8.1,87,2.73
171,"La haine","Mathieu Kassovitz","1995",98,8.1,0,0.31
172,"Hachi: A Dog's Tale","Lasse Hallström","2009",93,8.1,0,0.0
173,"My Neighbor Totoro","Hayao Miyazaki","1988",86,8.1,86,1.11
174,"Raging Bull","Martin Scorsese","1980",129,8.1,90,23.38
175,"Cool Hand Luke","Stuart Rosenberg","1967",127,8.1,92,16.22
176,"The Iron Giant","Brad Bird","1999",86,8.1,85,23.16
177,"Wild Tales","Damián Szifron","2014",122,8.1,77,3.11
178,"Before Sunset","Richard Linklater","2004",80,8.1,91,5.82
179,"Stalker","Andrei Tarkovsky","1979",162,8.1,85,0.23
180,"A Silent Voice: The Movie","Naoko Yamada","2016",130,8.1,78,0.0
181,"Network","Sidney Lumet","1976",121,8.1,83,0.0
182,"Ben-Hur","William Wyler","1959",212,8.1,90,74.7
183,"Paris, Texas","Wim Wenders","1984",145,8.1,81,2.18
184,"The Seventh Seal","Ingmar Bergman","1957",96,8.1,88,0.0
185,"The Bridge on the River Kwai","David Lean","1957",161,8.1,87,44.91
186,"Persona","Ingmar Bergman","1966",83,8.1,86,0.0
187,"V for Vendetta","James McTeigue","2005",132,8.2,62,70.51
188,"In the Name of the Father","Jim Sheridan","1993",133,8.1,84,25.01
189,"Pan's Labyrinth","Guillermo del Toro","2006",118,8.2,98,37.63
190,"Hotel Rwanda","Terry George","2004",121,8.1,79,23.53
191,"The Great Escape","John Sturges","1963",172,8.2,86,12.1
192,"Amores Perros","Alejandro G. Iñárritu","2000",154,8.1,83,5.38
193,"Some Like It Hot","Billy Wilder","1959",121,8.2,98,25.0
194,"The Message","Moustapha Akkad","1976",177,8.1,0,0.0
195,"Monty Python and the Holy Grail","Terry Gilliam","1975",91,8.2,91,1.23
196,"Rebecca","Alfred Hitchcock","1940",130,8.1,86,4.36
197,"The Elephant Man","David Lynch","1980",124,8.2,78,0.0
198,"Neon Genesis Evangelion: The End of Evangelion","Hideaki Anno","1997",87,8.1,0,0.0
199,"The Man Who Shot Liberty Valance","John Ford","1962",123,8.1,94,0.0
200,"Demon Slayer the Movie: Mugen Train","Haruo Sotozaki","2020",117,8.2,72,47.7
201,"Inherit the Wind","Stanley Kramer","1960",128,8.1,75,0.0
202,"The Secret in Their Eyes","Juan José Campanella","2009",129,8.2,80,6.39
203,"The Third Man","Carol Reed","1949",93,8.1,97,0.45
204,"For a Few Dollars More","Sergio Leone","1965",132,8.2,74,15.0
205,"Paper Moon","Peter Bogdanovich","1973",102,8.1,77,30.93
206,"The Best Years of Our Lives","William Wyler","1946",170,8.1,93,23.65
207,"Ran","Akira Kurosawa","1985",162,8.2,97,4.14
208,"The Grapes of Wrath","John Ford","1940",129,8.1,96,0.06
209,"Klaus","Sergio Pablos","2019",96,8.2,65,0.0
210,"All Quiet on the Western Front","Lewis Milestone","1930",152,8.1,91,3.27
211,"Drishyam 2","Abhishek Pathak","2022",140,8.2,0,0.0
212,"Mary and Max","Adam Elliot","2009",92,8.1,0,0.0
213,"Dial M for Murder","Alfred Hitchcock","1954",105,8.2,75,0.01
214,"A Woman Under the Influence","John Cassavetes","1974",155,8.1,88,13.34
215,"The 400 Blows","François Truffaut","1959",99,8.1,0,0.0
216,"Three Colors: Red","Krzysztof Kieslowski","1994",99,8.1,100,4.04
217,"All About Eve","Joseph L. Mankiewicz","1950",138,8.2,98,0.01
218,"The Celebration","Thomas Vinterberg","1998",105,8.1,82,1.65
219,"Baahubali 2: The Conclusion","S.S. Rajamouli","2017",167,8.2,0,20.19
220,"PK","Rajkumar Hirani","2014",153,8.1,0,10.62
221,"Andhadhun","Sriram Raghavan","2018",139,8.2,0,1.37
222,"It Happened One Night","Frank Capra","1934",105,8.1,87,4.36
223,"Gangs of Wasseypur","Anurag Kashyap","2012",321,8.2,89,0.0
224,"Fanny and Alexander","Ingmar Bergman","1982",188,8.1,100,4.97
225,"Bajrangi Bhaijaan","Kabir Khan","2015",163,8.1,0,8.18
226,"Rashomon","Akira Kurosawa","1950",88,8.2,98,0.1
227,"Wild Strawberries","Ingmar Bergman","1957",91,8.1,88,0.0
228,"The Treasure of the Sierra Madre","John Huston","1948",126,8.2,98,5.01
229,"The Red Shoes","Michael Powell","1948",135,8.1,0,10.9
230,"Yojimbo","Akira Kurosawa","1961",110,8.2,93,0.0
231,"Lagaan: Once Upon a Time in India","Ashutosh Gowariker","2001",224,8.1,84,0.07
232,"Yi Yi: A One and a Two...","Edward Yang","2000",173,8.1,94,1.14
233,"Underground","Emir Kusturica","1995",167,8.1,79,0.17
234,"To Be or Not to Be","Ernst Lubitsch","1942",99,8.2,86,0.0
235,"The Battle of Algiers","Gillo Pontecorvo","1966",121,8.1,96,0.06
236,"Drishyam","Nishikant Kamat","2015",163,8.2,0,0.74
237,"Farewell My Concubine","Kaige Chen","1993",171,8.1,83,5.22
238,"Tumbbad","Rahi Anil Barve","2018",104,8.2,0,0.0
239,"Mr. Smith Goes to Washington","Frank Capra","1939",129,8.1,73,9.6
240,"Zindagi Na Milegi Dobara","Zoya Akhtar","2011",155,8.2,0,3.11
241,"Miracle in Cell No. 7","Mehmet Ada Öztekin","2019",132,8.2,0,0.0
242,"Pather Panchali","Satyajit Ray","1955",125,8.2,0,0.54
243,"Z","Costa-Gavras","1969",127,8.2,86,0.08
244,"Tokyo Story","Yasujirô Ozu","1953",136,8.2,100,0.0
245,"Children of Heaven","Majid Majidi","1997",89,8.2,77,0.93
246,"Uri: The Surgical Strike","Aditya Dhar","2019",138,8.2,0,4.19
247,"Swades","Ashutosh Gowariker","2004",189,8.2,0,1.22
248,"The Wages of Fear","Henri-Georges Clouzot","1953",131,8.2,85,0.0
249,"K.G.F: Chapter 1","Prashanth Neel","2018",156,8.2,0,0.0
250,"The Passion of Joan of Arc","Carl Theodor Dreyer","1928",114,8.2,98,0.02
251,"My Father and My Son","Çagan Irmak","2005",112,8.2,0,0.0
252,"Sherlock Jr.","Buster Keaton","1924",45,8.2,0,0.98
253,"Dersu Uzala","Akira Kurosawa","1975",142,8.2,0,0.0
254,"Umberto D.","Vittorio De Sica","1952",89,8.2,92,0.07
255,"Vikram Vedha","Gayatri","2017",147,8.2,0,0.0
256,"Paan Singh Tomar","Tigmanshu Dhulia","2012",135,8.2,0,0.04
257,"Rangasthalam 1985","Sukumar","2018",170,8.2,0,3.51
258,"Winter Sleep","Nuri Bilge Ceylan","2014",196,8.1,88,0.17
259,"Diabolique","Henri-Georges Clouzot","1955",117,8.1,0,1.09
260,"Andrei Rublev","Andrei Tarkovsky","1966",205,8.1,0,0.1
261,"Bhaag Milkha Bhaag","Rakeysh Omprakash Mehra","2013",186,8.2,0,1.63
262,"Dil Chahta Hai","Farhan Akhtar","2001",183,8.1,0,0.3
263,"Wolf Children","Mamoru Hosoda","2012",117,8.1,71,0.0
264,"Jaws","Steven Spielberg","1975",124,8.1,87,260.0
265,"The Hidden Fortress","Akira Kurosawa","1958",126,8.1,89,0.0
266,"The Grand Budapest Hotel","Wes Anderson","2014",99,8.1,88,59.1
267,"Prisoners","Denis Villeneuve","2013",153,8.1,70,61.0
268,"Pirates of the Caribbean: The Curse of the Black Pearl","Gore Verbinski","2003",143,8.1,63,305.41
269,"Ace in the Hole","Billy Wilder","1951",111,8.1,72,3.97
