"id","title","director","release_year","runtime","rating","metascore","gross(M)"
779,"Whisper of the Heart","Yoshifumi Kondô","1995",111,7.8,75,0.0
780,"Fried Green Tomatoes","Jon Avnet","1991",130,7.7,64,82.42
781,"Gaslight","George Cukor","1944",114,7.8,78,0.0
782,"Kung Fu Hustle","Stephen Chow","2004",99,7.7,78,17.11
783,"Dirty Harry","Don Siegel","1971",102,7.7,87,35.9
784,"The Chaser","Na Hong-jin","2008",125,7.8,64,0.0
785,"Serpico","Sidney Lumet","1973",130,7.7,81,29.8
786,"Detachment","Tony Kaye","2011",98,7.7,52,0.07
787,"Manhattan","Woody Allen","1979",96,7.8,83,45.7
788,"Happiness","Todd Solondz","1998",134,7.7,81,2.81
789,"Breaking the Waves","Lars von Trier","1996",159,7.8,81,4.04
790,"Being John Malkovich","Spike Jonze","1999",113,7.7,90,22.86
791,"The Theory of Everything","James Marsh","2014",123,7.7,71,35.89
792,"Loving Vincent","DK Welchman","2017",94,7.8,62,6.74
793,"The Dirty Dozen","Robert Aldrich","1967",150,7.7,73,45.3
794,"The World's Fastest Indian","Roger Donaldson","2005",127,7.8,68,5.13
795,"Lucky Number Slevin","Paul McGuigan","2006",110,7.7,53,22.49
796,"Frankenstein","James Whale","1931",70,7.8,91,0.0
797,"Adaptation.","Spike Jonze","2002",115,7.7,83,22.25
798,"To Have and Have Not","Howard Hawks","1944",100,7.8,90,0.0
799,"Clerks","Kevin Smith","1994",92,7.7,70,3.15
800,"Stagecoach","John Ford","1939",96,7.8,93,0.0
801,"The Longest Day","Ken Annakin","1962",178,7.7,75,39.1
802,"This Is England","Shane Meadows","2006",101,7.7,86,0.33
803,"Flipped","Rob Reiner","2010",90,7.7,45,1.75
804,"The Name of the Rose","Jean-Jacques Annaud","1986",130,7.7,54,7.15
805,"Goldfinger","Guy Hamilton","1964",110,7.7,87,51.08
806,"Ordinary People","Robert Redford","1980",124,7.7,86,54.8
807,"South Park: Bigger, Longer & Uncut","Trey Parker","1999",81,7.7,73,52.04
808,"Bonnie and Clyde","Arthur Penn","1967",111,7.7,86,0.0
809,"The Verdict","Sidney Lumet","1982",129,7.7,77,54.0
810,"The Great Beauty","Paolo Sorrentino","2013",141,7.7,86,2.85
811,"Malcolm X","Spike Lee","1992",202,7.7,73,48.17
812,"Billy Elliot","Stephen Daldry","2000",110,7.7,74,22.0
813,"Miller's Crossing","Joel Coen","1990",115,7.7,66,5.08
814,"Paprika","Satoshi Kon","2006",90,7.7,81,0.88
815,"The Wind Rises","Hayao Miyazaki","2013",126,7.7,83,5.21
816,"Ray","Taylor Hackford","2004",152,7.7,73,75.33
817,"Roma","Alfonso Cuarón","2018",135,7.7,96,0.0
818,"Joint Security Area","Park Chan-wook","2000",110,7.7,58,0.0
819,"Run Lola Run","Tom Tykwer","1998",80,7.7,77,7.27
820,"Belle de Jour","Luis Buñuel","1967",100,7.7,0,0.03
821,"Red River","Howard Hawks","1948",133,7.8,96,0.0
822,"The Lunchbox","Ritesh Batra","2013",104,7.8,76,4.23
823,"The Last Emperor","Bernardo Bertolucci","1987",163,7.7,76,43.98
824,"Land of Mine","Martin Zandvliet","2015",100,7.8,75,0.44
825,"Hard Boiled","John Woo","1992",128,7.7,0,0.0
826,"Kubo and the Two Strings","Travis Knight","2016",101,7.7,84,48.02
827,"His Girl Friday","Howard Hawks","1940",92,7.8,0,0.3
828,"Fantastic Planet","René Laloux","1973",72,7.7,73,0.19
829,"Batman: Mask of the Phantasm","Eric Radomski","1993",76,7.8,65,5.62
830,"The Man from Nowhere","Jeong-beom Lee","2010",119,7.7,0,0.01
831,"L'Avventura","Michelangelo Antonioni","1960",144,7.8,0,0.0
832,"Mother","Bong Joon Ho","2009",129,7.7,79,0.55
833,"Hannah and Her Sisters","Woody Allen","1986",107,7.8,90,40.08
834,"Badlands","Terrence Malick","1973",94,7.7,93,0.0
835,"Ninja Scroll","Yoshiaki Kawajiri","1993",94,7.8,0,0.0
836,"The Man Who Would Be King","John Huston","1975",129,7.8,91,0.0
837,"The African Queen","John Huston","1951",105,7.7,91,0.54
838,"The White Ribbon","Michael Haneke","2009",144,7.8,84,2.22
839,"Open Your Eyes","Alejandro Amenábar","1997",119,7.7,0,0.37
840,"Shadow of a Doubt","Alfred Hitchcock","1943",108,7.8,94,0.0
841,"A Prophet","Jacques Audiard","2009",155,7.8,90,2.08
842,"Beasts of No Nation","Cary Joji Fukunaga","2015",137,7.7,79,0.08
843,"Finding Neverland","Marc Forster","2004",106,7.7,67,51.68
844,"The Bride of Frankenstein","James Whale","1935",75,7.8,95,4.36
845,"Me and Earl and the Dying Girl","Alfonso Gomez-Rejon","2015",105,7.7,74,6.74
846,"The Umbrellas of Cherbourg","Jacques Demy","1964",91,7.8,86,0.03
847,"The Quiet Man","John Ford","1952",129,7.7,85,10.55
848,"Happy Together","Kar-Wai Wong","1997",96,7.7,70,0.19
849,"I, Daniel Blake","Ken Loach","2016",100,7.8,78,0.26
850,"The Innocents","Jack Clayton","1961",100,7.8,88,2.62
851,"Breathless","Jean-Luc Godard","1960",90,7.7,0,0.34
852,"The Killer","John Woo","1989",111,7.8,82,0.0
853,"Black Book","Paul Verhoeven","2006",145,7.7,71,4.4
854,"The Postman","Michael Radford","1994",108,7.8,81,21.85
855,"Short Cuts","Robert Altman","1993",188,7.7,81,6.11
856,"You Can't Take It with You","Frank Capra","1938",126,7.8,0,4.66
857,"Hamlet","Kenneth Branagh","1996",242,7.7,0,4.41
858,"Cowboy Bebop: The Movie","Shin'ichirô Watanabe","2001",115,7.8,61,1.0
859,"Fantasia","James Algar","1940",124,7.7,96,76.41
860,"Nebraska","Alexander Payne","2013",115,7.7,86,17.65
861,"The Chorus","Christophe Barratier","2004",97,7.8,56,3.64
862,"The Double Life of Véronique","Krzysztof Kieslowski","1991",98,7.7,86,2.0
863,"Tokyo Godfathers","Satoshi Kon","2003",92,7.8,74,0.13
864,"Zulu","Cy Endfield","1964",138,7.7,77,0.0
865,"Crimes and Misdemeanors","Woody Allen","1989",104,7.8,77,18.25
866,"Waking Life","Richard Linklater","2001",99,7.7,84,2.89
867,"Once Upon a Time in Anatolia","Nuri Bilge Ceylan","2011",157,7.8,82,0.14
868,"Porco Rosso","Hayao Miyazaki","1992",94,7.7,83,0.0
869,"The Asphalt Jungle","John Huston","1950",112,7.8,85,0.0
870,"The Vanishing","George Sluizer","1988",107,7.7,0,0.0
871,"Veer Zaara","Yash Chopra","2004",192,7.8,67,2.92
872,"Invasion of the Body Snatchers","Don Siegel","1956",80,7.7,92,0.0
873,"The Discreet Charm of the Bourgeoisie","Luis Buñuel","1972",102,7.8,93,0.2
874,"Like Father, Like Son","Kore-eda Hirokazu","2013",121,7.8,73,0.28
875,"When Marnie Was There","Hiromasa Yonebayashi","2014",103,7.7,72,0.77
876,"Hedwig and the Angry Inch","John Cameron Mitchell","2001",95,7.7,85,3.03
877,"English Vinglish","Gauri Shinde","2012",134,7.8,0,1.67
878,"Perfect Strangers","Paolo Genovese","2016",96,7.7,0,0.0
879,"Duck Soup","Leo McCarey","1933",69,7.8,93,0.0
880,"A Man for All Seasons","Fred Zinnemann","1966",120,7.7,72,28.35
881,"Vivre Sa Vie","Jean-Luc Godard","1962",85,7.8,0,0.0
882,"Night on Earth","Jim Jarmusch","1991",129,7.7,68,2.02
883,"Millennium Actress","Satoshi Kon","2001",87,7.8,70,0.19
884,"Black Narcissus","Michael Powell","1947",101,7.7,86,0.0
885,"Knockin' on Heaven's Door","Thomas Jahn","1997",87,7.8,0,0.0
886,"The Broken Circle Breakdown","Felix van Groeningen","2012",111,7.7,70,0.18
887,"My Life as a Zucchini","Claude Barras","2016",70,7.8,85,0.29
888,"The Triplets of Belleville","Sylvain Chomet","2003",80,7.7,91,7.0
889,"A Night at the Opera","Sam Wood","1935",96,7.8,0,2.54
890,"Good Bye Lenin!","Wolfgang Becker","2003",121,7.7,68,4.06
891,"Hindi Medium","Saket Chaudhary","2017",132,7.8,0,0.0
892,"The Little Prince","Mark Osborne","2015",108,7.7,70,1.34
893,"Vicky Donor","Shoojit Sircar","2012",126,7.8,0,0.17
894,"Cape Fear","J. Lee Thompson","1962",106,7.7,76,0.0
895,"The Whale","Darren Aronofsky","2022",117,7.7,60,0.0
896,"Scarface","Howard Hawks","1932",93,7.7,90,0.0
897,"Mission: Impossible - Fallout","Christopher McQuarrie","2018",147,7.7,86,220.16
898,"Marty","Delbert Mann","1955",90,7.7,0,0.0
899,"The Banshees of Inisherin","Martin McDonagh","2022",114,7.7,87,0.0
900,"The Motorcycle Diaries","Walter Salles","2004",126,7.7,75,16.78
901,"The Goonies","Richard Donner","1985",114,7.7,62,61.5
902,"The Lady Vanishes","Alfred Hitchcock","1938",96,7.7,98,0.0
903,"Down by Law","Jim Jarmusch","1986",107,7.7,75,1.44
904,"The Caine Mutiny","Edward Dmytryk","1954",124,7.7,63,21.75
905,"Harry Potter and the Sorcerer's Stone","Chris Columbus","2001",152,7.6,65,317.58
906,"Once Upon a Time in Hollywood","Quentin Tarantino","2019",161,7.6,83,142.5
907,"American Psycho","Mary Harron","2000",102,7.6,64,15.07
908,"The Fifth Element","Luc Besson","1997",126,7.6,52,63.54
909,"Superbad","Greg Mottola","2007",113,7.6,76,121.46
910,"The Royal Tenenbaums","Wes Anderson","2001",110,7.6,76,52.36
911,"300","Zack Snyder","2006",117,7.6,52,210.61
912,"Watchmen","Zack Snyder","2009",162,7.6,56,107.51
913,"Deadpool 2","David Leitch","2018",119,7.6,66,324.59
914,"Guardians of the Galaxy Vol. 2","James Gunn","2017",136,7.6,67,389.81
915,"Moana","Ron Clements","2016",107,7.6,81,248.76
916,"RoboCop","Paul Verhoeven","1987",102,7.6,70,53.42
917,"Kick-Ass","Matthew Vaughn","2010",117,7.6,66,48.07
918,"Sicario","Denis Villeneuve","2015",121,7.6,82,46.89
919,"My Cousin Vinny","Jonathan Lynn","1992",120,7.6,68,52.93
920,"Rushmore","Wes Anderson","1998",93,7.6,86,17.11
921,"Saw","James Wan","2004",103,7.6,46,56.0
922,"Office Space","Mike Judge","1999",89,7.6,68,10.82
923,"Moneyball","Bennett Miller","2011",133,7.6,87,75.61
924,"A Star Is Born","Bradley Cooper","2018",136,7.6,88,215.29
925,"The Butterfly Effect","Eric Bress","2004",113,7.6,30,57.94
926,"Inside Man","Spike Lee","2006",129,7.6,76,88.51
927,"Star Wars: Episode III - Revenge of the Sith","George Lucas","2005",140,7.6,68,380.26
928,"Stardust","Matthew Vaughn","2007",127,7.6,66,38.63
929,"True Grit","Ethan Coen","2010",110,7.6,80,171.24
930,"Kung Fu Panda","Mark Osborne","2008",92,7.6,74,215.43
931,"Minority Report","Steven Spielberg","2002",145,7.6,80,132.07
932,"Hell or High Water","David Mackenzie","2016",102,7.6,88,26.86
933,"The Blind Side","John Lee Hancock","2009",129,7.6,53,255.96
934,"Eastern Promises","David Cronenberg","2007",100,7.6,83,17.11
935,"The Others","Alejandro Amenábar","2001",104,7.6,74,96.52
936,"The Birds","Alfred Hitchcock","1963",119,7.6,90,11.4
937,"Mulan","Tony Bancroft","1998",87,7.6,71,120.62
938,"The Fly","David Cronenberg","1986",96,7.6,79,40.46
939,"Lethal Weapon","Richard Donner","1987",109,7.6,68,65.21
940,"What We Do in the Shadows","Jemaine Clement","2014",86,7.6,76,3.33
941,"The Mitchells vs the Machines","Michael Rianda","2021",114,7.6,81,0.0
942,"The Thin Red Line","Terrence Malick","1998",170,7.6,78,36.4
943,"Despicable Me","Pierre Coffin","2010",95,7.6,72,251.51
944,"Frost/Nixon","Ron Howard","2008",122,7.7,80,18.59
945,"Searching","Aneesh Chaganty","2018",102,7.6,71,26.02
946,"The Raid: Redemption","Gareth Evans","2011",101,7.6,73,4.11
947,"Taste of Cherry","Abbas Kiarostami","1997",95,7.7,80,0.31
948,"The Road Warrior","George Miller","1981",96,7.6,77,12.47
949,"Key Largo","John Huston","1948",100,7.7,0,0.0
950,"Dark City","Alex Proyas","1998",100,7.6,66,14.38
951,"The Salesman","Asghar Farhadi","2016",124,7.7,85,2.4
952,"Gone Baby Gone","Ben Affleck","2007",114,7.6,72,20.3
953,"Confessions","Tetsuya Nakashima","2010",106,7.7,0,0.0
954,"The Skin I Live In","Pedro Almodóvar","2011",120,7.6,70,3.19
955,"Dreams","Akira Kurosawa","1990",119,7.7,0,1.96
956,"Ponyo","Hayao Miyazaki","2008",101,7.6,86,15.09
957,"The Jungle Book","Wolfgang Reitherman","1967",78,7.6,65,141.84
958,"Enter the Dragon","Robert Clouse","1973",102,7.6,83,25.0
959,"End of Watch","David Ayer","2012",109,7.6,68,41.0
960,"Dark Waters","Todd Haynes","2019",126,7.6,73,0.0
961,"Dawn of the Planet of the Apes","Matt Reeves","2014",130,7.6,79,208.55
962,"I Am Sam","Jessie Nelson","2001",132,7.6,28,40.31
963,"Match Point","Woody Allen","2005",124,7.6,72,23.09
964,"The Experiment","Oliver Hirschbiegel","2001",120,7.7,60,0.14
965,"The Bridges of Madison County","Clint Eastwood","1995",135,7.6,69,71.52
966,"Evil","Mikael Håfström","2003",113,7.7,61,0.02
967,"After Hours","Martin Scorsese","1985",97,7.6,90,10.6
968,"Sabrina","Billy Wilder","1954",113,7.6,72,0.0
969,"Adam's Apples","Anders Thomas Jensen","2005",94,7.7,51,0.0
970,"Die Hard with a Vengeance","John McTiernan","1995",128,7.6,58,100.01
971,"The Girl Who Leapt Through Time","Mamoru Hosoda","2006",98,7.7,66,0.0
972,"Rebel Without a Cause","Nicholas Ray","1955",111,7.6,89,0.0
973,"The Magdalene Sisters","Peter Mullan","2002",114,7.7,83,4.89
974,"Snow White and the Seven Dwarfs","William Cottrell","1937",83,7.6,96,184.93
975,"After the Wedding","Susanne Bier","2006",120,7.7,78,0.41
976,"From Here to Eternity","Fred Zinnemann","1953",118,7.6,85,30.5
977,"In America","Jim Sheridan","2002",105,7.7,76,15.54
978,"50/50","Jonathan Levine","2011",100,7.6,72,35.01
979,"Barton Fink","Joel Coen","1991",116,7.6,69,6.15
980,"The Breadwinner","Nora Twomey","2017",94,7.7,78,0.31
981,"21 Grams","Alejandro G. Iñárritu","2003",124,7.6,70,16.29
982,"Jules and Jim","François Truffaut","1962",105,7.7,97,0.0
983,"United 93","Paul Greengrass","2006",111,7.6,90,31.57
984,"Love and Death","Woody Allen","1975",85,7.7,89,0.0
985,"The Last King of Scotland","Kevin Macdonald","2006",123,7.6,74,17.61
986,"Fireworks","Takeshi Kitano","1997",103,7.7,83,0.23
987,"25th Hour","Spike Lee","2002",135,7.6,69,13.06
988,"The Taking of Pelham One Two Three","Joseph Sargent","1974",104,7.6,68,2.49
989,"Control","Anton Corbijn","2007",122,7.6,78,0.87
990,"A Very Long Engagement","Jean-Pierre Jeunet","2004",133,7.6,76,6.17
991,"Shine","Scott Hicks","1996",105,7.6,87,35.81
992,"Philomena","Stephen Frears","2013",98,7.6,77,37.71
993,"The Invisible Man","James Whale","1933",71,7.6,87,0.0
994,"Cell 211","Daniel Monzón","2009",113,7.6,0,0.0
995,"The Purple Rose of Cairo","Woody Allen","1985",82,7.7,75,10.63
996,"The Muppet Christmas Carol","Brian Henson","1992",85,7.7,64,27.28
997,"The Past","Asghar Farhadi","2013",130,7.7,85,1.33
998,"Zelig","Woody Allen","1983",79,7.7,0,11.8
999,"The Edge of Heaven","Fatih Akin","2007",122,7.7,85,0.74
1000,"Avatar: The Way of Water","James Cameron","2022",192,7.6,67,659.68
